CODE_STATION;NOM_STATION;DATE_RELEVE;EVENEMENT;COTE;COTE_UNITE;VOLUME;VOLUME_UNITE;SURFACE;SURFACE_UNITE;DEBIT_IN;DEBIT_IN_UNITE;DEBIT_OUT;DEBIT_OUT_UNITE;EVAPORATION;EVAPORATION_UNITE;PLUVIOMETRIE;PLUVIOMETRIE_UNITE
34              ;Barrage du Salagou;30/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;31/07/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;01/08/69;Mise en eau;;m NGF;;;;;;;;;;;23;mm
34              ;Barrage du Salagou;02/08/69;Mise en eau;124,47;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;03/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;04/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;05/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;06/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;07/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;08/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;09/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/08/69;Mise en eau;;m NGF;;;;;;;;;;;11,5;mm
34              ;Barrage du Salagou;11/08/69;Mise en eau;;m NGF;;;;;;;;;;;9,2;mm
34              ;Barrage du Salagou;12/08/69;Mise en eau;;m NGF;;;;;;;;;;;12;mm
34              ;Barrage du Salagou;13/08/69;Mise en eau;;m NGF;;;;;;;;;;;1;mm
34              ;Barrage du Salagou;14/08/69;Mise en eau;124,47;m NGF;;;;;;;;;;;12;mm
34              ;Barrage du Salagou;15/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;16/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;17/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;18/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;19/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;20/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;21/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;22/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;23/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;24/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;25/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;26/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;27/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;28/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;29/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;30/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;31/08/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;01/09/69;Mise en eau;;m NGF;;;;;;;;;;;35;mm
34              ;Barrage du Salagou;02/09/69;Mise en eau;124,45;m NGF;;;;;;;;;;;3,5;mm
34              ;Barrage du Salagou;03/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;04/09/69;Mise en eau;;m NGF;;;;;;;;;;;9,8;mm
34              ;Barrage du Salagou;05/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;06/09/69;Mise en eau;;m NGF;;;;;;;;;;;5;mm
34              ;Barrage du Salagou;07/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;08/09/69;Mise en eau;124,55;m NGF;;;;;;;;;;;14;mm
34              ;Barrage du Salagou;09/09/69;Mise en eau;124,59;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;11/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;12/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;13/09/69;Mise en eau;;m NGF;;;;;;;;;;;53;mm
34              ;Barrage du Salagou;14/09/69;Mise en eau;;m NGF;;;;;;;;;;;3,2;mm
34              ;Barrage du Salagou;15/09/69;Mise en eau;;m NGF;;;;;;;;;;;6;mm
34              ;Barrage du Salagou;16/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;17/09/69;Mise en eau;;m NGF;;;;;;;;;;;2,8;mm
34              ;Barrage du Salagou;18/09/69;Mise en eau;;m NGF;;;;;;;;;;;12,5;mm
34              ;Barrage du Salagou;19/09/69;Mise en eau;125,56;m NGF;;;;;;;;;;;8;mm
34              ;Barrage du Salagou;20/09/69;Mise en eau;;m NGF;;;;;;;;;;;2,3;mm
34              ;Barrage du Salagou;21/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;22/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;23/09/69;Mise en eau;125,67;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;24/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;25/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;26/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;27/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;28/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;29/09/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;30/09/69;Mise en eau;;m NGF;;;;;;;;;;;4,5;mm
34              ;Barrage du Salagou;01/10/69;Mise en eau;125,72;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;02/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;03/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;04/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;05/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;06/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;07/10/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
