COTE;SURFACE;VOLUME
142.88;814.28;130464000
142.89;814.59;130542000
142.9;814.9;130620000
142.91;815.21;130698000
142.92;815.52;130776000
142.93;815.83;130854000
142.94;816.14;130932000
142.95;816.45;131010000
142.96;816.76;131088000
142.97;817.07;131166000
142.98;817.38;131244000
142.99;817.69;131322000
143;818;131400000
